0000000001.png,1qtPHveowCA,1,0,沙朗牛PK滴豬腳北市便當爭霸賽演饕客
0000000041.png,1qtPHveowCA,40,23,"10大市場攤商比拚,像豬膝素食創意多"
0000000067.png,1qtPHveowCA,66,46,10大市場攤商比拼:懒猪膝素食創意多
0000000007.png,Ex9YHRFWhso,6,69,日頭撞墜谷亡疑曾指妻骨灰遊台灣
0000000031.png,Ex9YHRFWhso,30,92,日男自撞墜谷亡疑曾指妻骨灰遊台灣
0000000044.png,Ex9YHRFWhso,43,115,魂斷他鄉口社長撞護欄彈飛墜15m深山谷。
0000000066.png,Ex9YHRFWhso,65,138,日男自撞墜谷亡疑曾指妻骨灰遊台灣
0000000001.png,xxOO_dVjuGc,1,161,備戰2020?柯設國政小組扁朝官任召集人
0000000025.png,xxOO_dVjuGc,24,184,顧問團代智庫柯城市外交非市長能處理
0000000059.png,xxOO_dVjuGc,58,207,顧問團代智庫柯城市外交非市長能處理
0000000080.png,xxOO_dVjuGc,79,230,韓提國家安全人民有錢沒爭議目標
0000000001.png,myF4Pavvmyg,1,253,手機惹禍?陸女剪髮當低頭族耳朵遭剪傷
0000000015.png,myF4Pavvmyg,14,276,手機惹禍陸女剪髮當低頭族耳朵遭剪傷
0000000044.png,myF4Pavvmyg,43,299,耳遭剪傷破相設師滑手機頭一直動
0000000002.png,0wYYwBnPMPs,1,322,三成民眾不滿韓施政原因曝:愛說大話
0000000097.png,0wYYwBnPMPs,96,345,"高市府民調全公布,不滿意韓”說大話占多數"
0000000001.png,eaQaW8esAEM,1,368,“你撞到我了!騎士持開山刀咆哮砍車
0000000075.png,eaQaW8esAEM,74,391,“你撞到我了!騎士持開山刀咆哮砍車
0000000001.png,0NCiU_GqdxQ,1,414,涉詐3名癌症病患名醫吳思遠百萬交保
0000000015.png,0NCiU_GqdxQ,14,437,涉詐3癌症病患腫瘤名醫吳思遠遭檢搜索
0000000030.png,0NCiU_GqdxQ,29,460,涉癌症病患名醫吳思遠百萬交保
0000000044.png,0NCiU_GqdxQ,43,483,多花20萬買高階手術名醫疑用低階療程
0000000088.png,0NCiU_GqdxQ,87,506,名醫吳思遠百萬交保檢調疑恐多人涉案
0000000001.png,BXFPIB2ngis,1,529,10年前佯裝娛樂總裁王男騙財騙色
0000000080.png,BXFPIB2ngis,79,552,涉及多件詐欺案王男網路詐騙多人
0000000046.png,5ePe3hpDNX8,45,575,受害者登門要債與被控詐欺者爆推擠
0000000081.png,5ePe3hpDNX8,80,598,王姓男子被判詐欺簽下本票化解紛爭
0000000001.png,M6aZp-7ddX0,1,621,中市社會局長李允傑遭訴要求員工跟遠境
0000000051.png,M6aZp-7ddX0,50,644,發愛心彩議員邀局長致詞無動用公務員
0000000074.png,M6aZp-7ddX0,73,667,發爱心来重邀局長致詞無動用公務員
0000000097.png,M6aZp-7ddX0,96,690,感念宮廟捐機車善學社會局同仁自發邊境
0000000001.png,bt_X6m0zxX8,1,713,“應同舟共濟總統蘇揆聯手反擊賴
0000000031.png,bt_X6m0zxX8,30,736,"“應同舟共濟總統,蘇揆聯手反擊賴"
